Country,Status,Population
Mexico,De facto,130207371
Colombia,De jure,50355650
Spain,De jure,47260584
Argentina,De facto,45864941
Peru,De jure,32201224
Venezuela,De jure,29069153
Chile,De facto,18307925
Guatemala,De jure,17422821
Ecuador,De jure,17093159
Bolivia,De jure,11758869
Cuba,De jure,11032343
Dominican Republic,De jure,10597348
Honduras,De jure,9346277
Paraguay,De jure,7272639
El Salvador,De jure,6528135
Nicaragua,De jure,6243931
Costa Rica,De jure,5151140
Panama,De jure,3928646
Uruguay,De facto,3398239
Equatorial Guinea,De jure,1468777
